Format;Material;Finish;Quantity;Price (DKK)
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;5000;14895
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;6000;22755
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;7000;24057
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;8000;25368
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;9000;26680
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;10000;27991
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;100;2457
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;150;2867
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;200;2969
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;250;3071
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;300;3695
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;350;3799
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;400;3903
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;450;4007
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;500;4111
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;750;5444
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;1000;5888
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;1250;9044
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;1500;9487
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;1750;9939
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;2000;10392
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;2250;10844
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;2500;11296
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;3000;16596
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;3500;17482
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;4000;18368
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;4500;19246
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;5000;20132
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;6000;30822
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;7000;32604
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;8000;34385
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;9000;36167
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;10000;37940
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;100;2457
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;150;2867
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;200;2969
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;250;3071
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;300;3695
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;350;3799
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;400;3903
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;450;4007
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;500;4111
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;750;5444
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;1000;5888
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;1250;9044
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;1500;9487
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;1750;9939
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;2000;10392
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;2250;10844
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;2500;11296
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;3000;16596
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;3500;17482
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;4000;18368
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;4500;19246
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;5000;20132
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;6000;30822
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;7000;32604
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;8000;34385
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;9000;36167
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;10000;37940
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);50;491
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);75;637
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);100;783
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);150;1075
