format,print_mode,material,quantity,eur,dkk_base,tier_multiplier,dkk_final,detail_url
21x21 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",200,226.31,1697.325,1.6,2716,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",250,239.57,1796.775,1.6,2875,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",500,301.19,2258.925,1.5,3388,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",750,373.46,2800.95,1.5,4201,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",1000,397.57,2981.775,1.5,4473,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",1500,631.56,4736.7,1.5,7105,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",2000,686.92,5151.9,1.4,7213,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",2500,742.27,5567.025,1.4,7794,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",3000,1059.01,7942.575,1.4,11120,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",4000,1164.59,8734.425,1.4,12228,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",5000,1270.17,9526.275,1.4,13337,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,40 mm starker Chromokarton 255g für 5mm",100,189.06,1417.95,1.6,2269,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,40 mm starker Chromokarton 255g für 5mm",150,210.68,1580.1,1.6,2528,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,40 mm starker Chromokarton 255g für 5mm",200,216.09,1620.675,1.6,2593,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,40 mm starker Chromokarton 255g für 5mm",250,221.5,1661.25,1.6,2658,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,40 mm starker Chromokarton 255g für 5mm",500,278.47,2088.525,1.5,3133,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,40 mm starker Chromokarton 255g für 5mm",750,345.29,2589.675,1.5,3885,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,40 mm starker Chromokarton 255g für 5mm",1000,367.58,2756.85,1.5,4135,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,40 mm starker Chromokarton 255g für 5mm",1500,566.43,4248.225,1.5,6372,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,40 mm starker Chromokarton 255g für 5mm",2000,616.07,4620.525,1.5,6931,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,40 mm starker Chromokarton 255g für 5mm",2500,665.72,4992.9,1.5,7489,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
